metric_group,metric_key,value,notes
SUMMARY,total_chunks,319,NOT_APPLICABLE
SUMMARY,embedding_candidates,306,NOT_APPLICABLE
SUMMARY,non_embedding_chunks,13,NOT_APPLICABLE
SUMMARY,control_chunks,10,NOT_APPLICABLE
TOKEN,minimum,21,unicode_codepoint_v1; Unicode 15.0.0; Python stdlib unicodedata; NFC normalization
TOKEN,maximum,644,unicode_codepoint_v1; Unicode 15.0.0; Python stdlib unicodedata; NFC normalization
TOKEN,average,234.67,unicode_codepoint_v1; Unicode 15.0.0; Python stdlib unicodedata; NFC normalization
TOKEN,median,182,unicode_codepoint_v1; Unicode 15.0.0; Python stdlib unicodedata; NFC normalization
TOKEN,p90,394,unicode_codepoint_v1; Unicode 15.0.0; Python stdlib unicodedata; NFC normalization
TOKEN,p95,559,unicode_codepoint_v1; Unicode 15.0.0; Python stdlib unicodedata; NFC normalization
TOKEN,above_700,0,NOT_APPLICABLE
QUALITY,chunks_with_overlap,0,NOT_APPLICABLE
QUALITY,chunks_without_locator,0,NOT_APPLICABLE
QUALITY,duplicate_exact_text,0,NOT_APPLICABLE
EVALUATION,core_covered,30,NOT_APPLICABLE
EVALUATION,supplementary_out_of_scope,6,NOT_APPLICABLE
SOURCE,A01,31,NOT_APPLICABLE
SOURCE,A02,11,NOT_APPLICABLE
SOURCE,A03,10,NOT_APPLICABLE
SOURCE,A04,10,NOT_APPLICABLE
SOURCE,A05,8,NOT_APPLICABLE
SOURCE,A06,4,NOT_APPLICABLE
SOURCE,A07,20,NOT_APPLICABLE
SOURCE,A10,67,NOT_APPLICABLE
SOURCE,A11,67,NOT_APPLICABLE
SOURCE,A12,52,NOT_APPLICABLE
SOURCE,B01,3,NOT_APPLICABLE
SOURCE,B02,3,NOT_APPLICABLE
SOURCE,B03,3,NOT_APPLICABLE
SOURCE,B04,3,NOT_APPLICABLE
SOURCE,B05,3,NOT_APPLICABLE
SOURCE,B06,3,NOT_APPLICABLE
SOURCE,B07,3,NOT_APPLICABLE
SOURCE,CF001,1,NOT_APPLICABLE
SOURCE,D01,7,NOT_APPLICABLE
SOURCE,G01,1,NOT_APPLICABLE
SOURCE,G02,1,NOT_APPLICABLE
SOURCE,INT01,1,NOT_APPLICABLE
SOURCE,INT02,1,NOT_APPLICABLE
SOURCE,INT03,1,NOT_APPLICABLE
SOURCE,INT04,1,NOT_APPLICABLE
SOURCE,INT05,1,NOT_APPLICABLE
SOURCE,INT06,1,NOT_APPLICABLE
SOURCE,INT07,1,NOT_APPLICABLE
SOURCE,MR-A11-RELATIONS,1,NOT_APPLICABLE
AGENT,academic,243,NOT_APPLICABLE
AGENT,administration,25,NOT_APPLICABLE
AGENT,coordinator,3,NOT_APPLICABLE
AGENT,schedule,38,NOT_APPLICABLE
AGENT,verifier,10,NOT_APPLICABLE
LIFECYCLE,ACTIVE,271,NOT_APPLICABLE
LIFECYCLE,ACTIVE_DYNAMIC,10,NOT_APPLICABLE
LIFECYCLE,ARCHIVE,25,NOT_APPLICABLE
LIFECYCLE,BLOCKED,1,NOT_APPLICABLE
LIFECYCLE,CONFLICT,2,NOT_APPLICABLE
LIFECYCLE,CONTROL,10,NOT_APPLICABLE
CHUNK_TYPE,ADMIN_POLICY,7,NOT_APPLICABLE
CHUNK_TYPE,ARCHIVE_EVENT,25,NOT_APPLICABLE
CHUNK_TYPE,BLOCKER_CONTROL,1,NOT_APPLICABLE
CHUNK_TYPE,CONFLICT_CLAIM,2,NOT_APPLICABLE
CHUNK_TYPE,CONTROL_RECORD,10,NOT_APPLICABLE
CHUNK_TYPE,COURSE_NODE,67,NOT_APPLICABLE
CHUNK_TYPE,COURSE_ROW,67,NOT_APPLICABLE
CHUNK_TYPE,CURRENT_EVENT,10,NOT_APPLICABLE
CHUNK_TYPE,CURRICULUM_INDEX,4,NOT_APPLICABLE
CHUNK_TYPE,CURRICULUM_NARRATIVE,10,NOT_APPLICABLE
CHUNK_TYPE,EQUIVALENCY_ROW,52,NOT_APPLICABLE
CHUNK_TYPE,GRADUATION_POLICY,19,NOT_APPLICABLE
CHUNK_TYPE,POLICY,24,NOT_APPLICABLE
CHUNK_TYPE,PROCEDURE,21,NOT_APPLICABLE
