vector_index,vector_id,chunk_id,source_id,document_id,title,retrieval_namespace,lifecycle_status,active_retrieval_allowed,historical_only,ttl_days,live_check_required,freshness_status,chunk_hash,vector_sha256,vector_dimension,vector_dtype,batch_number,indexed_at_wib
0,VEC-E5S-CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0001,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0001,A01,DOC-A01-ACADEMIC,Buku Panduan Universitas 2025/2026 — Bagian Akademik,active_academic,ACTIVE,1,0,30,1,CURRENT,1b17cc26187f07ff6b1362c0dfa8fc82449991fb5bd7e1a38918d9d945602433,2122139cd4cb4857c5439a1e2d02c6dc9e5941b4843182be930b317fd8edcfa3,384,float32,1,2026-07-27T12:18:55.976+07:00
1,VEC-E5S-CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0002,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0002,A01,DOC-A01-ACADEMIC,Buku Panduan Universitas 2025/2026 — Bagian Akademik,active_academic,ACTIVE,1,0,30,1,CURRENT,e07e4100684a6bcde6be1c9d0ee98aa9ac21dabfea462aabca6cc8a2bfa1b7e7,d7f63fc5ba56bbe41372c414e6a7a4a8f014113dc7076ec9ae8292e2f7044bee,384,float32,1,2026-07-27T12:18:55.976+07:00
2,VEC-E5S-CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0003,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0003,A01,DOC-A01-ACADEMIC,Buku Panduan Universitas 2025/2026 — Bagian Akademik,active_academic,ACTIVE,1,0,30,1,CURRENT,b131145737543ef6204092ab5e49c668632b4d99a3338fe641d26c665dfe4f77,e10e275dc41e96c5e91757484b325b69f4ea749dae9dfbf80032870971e643c5,384,float32,1,2026-07-27T12:18:55.976+07:00
3,VEC-E5S-CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0004,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0004,A01,DOC-A01-ACADEMIC,Buku Panduan Universitas 2025/2026 — Bagian Akademik,active_academic,ACTIVE,1,0,30,1,CURRENT,23442f9a9047bfade6773c96543c9738e0cbb9577527cb0058b471fe327abf5e,82527623d5087c9545bbf6218141b51f23459ae03639c7537753e81b3420a242,384,float32,1,2026-07-27T12:18:55.976+07:00
4,VEC-E5S-CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0005,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0005,A01,DOC-A01-ACADEMIC,Buku Panduan Universitas 2025/2026 — Bagian Akademik,active_academic,ACTIVE,1,0,30,1,CURRENT,ea14474c4a26c6ed8bf9df96b761835d8f5ed34ab0bdc158311599b98add295a,0415e1cfdc21f4766fe485f84b6d3d9358a69d5ea31f25de6caaf3701c8f4f78,384,float32,1,2026-07-27T12:18:55.976+07:00
5,VEC-E5S-CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0006,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0006,A01,DOC-A01-ACADEMIC,Buku Panduan Universitas 2025/2026 — Bagian Akademik,active_academic,ACTIVE,1,0,30,1,CURRENT,417cd45433c4d7a416b8c42b07a3ccc2042eefe37cb1145805db15c6c7691fce,2df70e1e7c41ecdc035f551b7d13fba28e0510af5b0151f2a6895b62321d8cbc,384,float32,1,2026-07-27T12:18:55.976+07:00
6,VEC-E5S-CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0007,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0007,A01,DOC-A01-ACADEMIC,Buku Panduan Universitas 2025/2026 — Bagian Akademik,active_academic,ACTIVE,1,0,30,1,CURRENT,2485242c3fc0440f56eaed24822fbbb88fe280c848025d4b9ca5f551396c3947,9b7eadea3bbfa4e03296025f3a1c7484c6336c09b7516e27ce454dc773f0ff98,384,float32,1,2026-07-27T12:18:55.976+07:00
7,VEC-E5S-CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0008,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0008,A01,DOC-A01-ACADEMIC,Buku Panduan Universitas 2025/2026 — Bagian Akademik,active_academic,ACTIVE,1,0,30,1,CURRENT,bd781908d910b9c43a6fdc0550ba04ce9703719c147d6c5d4dac2634ef1cc120,6592cc069a5a632f17ea27d2ad29511231501a72066bef1cafcef4190d6c9a04,384,float32,1,2026-07-27T12:18:55.976+07:00
8,VEC-E5S-CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0009,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0009,A01,DOC-A01-ACADEMIC,Buku Panduan Universitas 2025/2026 — Bagian Akademik,active_academic,ACTIVE,1,0,30,1,CURRENT,30cf25962c3c18024acb1110964ea8613b94c7254aa687e261161340a367effe,ac5298a44a1be70f3c28282267acb995b658cd12ee3d6b2277303838a8430c7f,384,float32,1,2026-07-27T12:18:55.976+07:00
9,VEC-E5S-CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0010,CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0010,A01,DOC-A01-ACADEMIC,Buku Panduan Universitas 2025/2026 — Bagian Akademik,active_academic,ACTIVE,1,0,30,1,CURRENT,2402eee27a737fb4420521944bc850554413284b521617f57ae81a71bf570209,2581cb15a85830c73e4aedd42a3e7501a669f9bcd25145bb12e19ae8aef50c0a,384,float32,1,2026-07-27T12:18:55.976+07:00
