checkpoint_id,batch_number,first_vector_index,last_vector_index,first_vector_id,last_vector_id,processed_count,successful_count,failed_count,vector_shape,database_name,database_type,index_type,config_hash,batch_content_hash,output_file,output_hash,started_at_wib,completed_at_wib,duration_seconds,status
CP-VDB-V1-0001,1,0,31,VEC-E5S-CH-ACA-A01-DOC-A01-ACADEMIC-POLICY-0001,VEC-E5S-CH-ACA-A02-DOC-A02-ACTIVE-CURRICULUM_NARRATIVE-0008,32,32,0,"[32, 384]",rag_amikom_v1,FAISS IndexIDMap2(IndexFlatIP) + SQLite metadata store,IndexIDMap2(IndexFlatIP),9c742bb4917a97de92e3341e772ac9a06d6984a6c33e9f0456adc5b8b669245c,e6388203f4e6fac9a2e0945ecf228e9ee077a04e233d02e6338d46e9e4010100,04_checkpoint/batch_checkpoints/batch_0001_vectors.npy,e32170359bda88f24ed0b3fb24b8f48850ec6ba863329bb4b04ce6d5486b7991,2026-07-27T12:18:55.976+07:00,2026-07-27T12:18:55.979+07:00,0.003277,COMPLETE
CP-VDB-V1-0002,2,32,63,VEC-E5S-CH-ACA-A02-DOC-A02-ACTIVE-CURRICULUM_NARRATIVE-0009,VEC-E5S-CH-ADM-A01-DOC-A01-ADMIN-ADMIN_POLICY-0007,32,32,0,"[32, 384]",rag_amikom_v1,FAISS IndexIDMap2(IndexFlatIP) + SQLite metadata store,IndexIDMap2(IndexFlatIP),9c742bb4917a97de92e3341e772ac9a06d6984a6c33e9f0456adc5b8b669245c,e8500e2c94515bd852e8e7113f7da4f83dc01cbca38437eb06443ba88dc9f2ab,04_checkpoint/batch_checkpoints/batch_0002_vectors.npy,69f924ffc42727ecbc603a80616f8e169bb77d008e762111fded78c1201dae28,2026-07-27T12:18:55.979+07:00,2026-07-27T12:18:55.983+07:00,0.003284,COMPLETE
CP-VDB-V1-0003,3,64,95,VEC-E5S-CH-ACA-A10-DOC-A10-COURSE_ROW-0001,VEC-E5S-CH-ACA-A10-DOC-A10-COURSE_ROW-0032,32,32,0,"[32, 384]",rag_amikom_v1,FAISS IndexIDMap2(IndexFlatIP) + SQLite metadata store,IndexIDMap2(IndexFlatIP),9c742bb4917a97de92e3341e772ac9a06d6984a6c33e9f0456adc5b8b669245c,230b980e4d71f2d3f6d1ea9764f94b7cecd6d1c2bfdaaea20f31b9db279c72b2,04_checkpoint/batch_checkpoints/batch_0003_vectors.npy,d68087e7425cd6b72fef22ec835568c3df0f8da499e4aa1c3650ce99d22dc9f9,2026-07-27T12:18:55.983+07:00,2026-07-27T12:18:55.986+07:00,0.003401,COMPLETE
CP-VDB-V1-0004,4,96,127,VEC-E5S-CH-ACA-A10-DOC-A10-COURSE_ROW-0033,VEC-E5S-CH-ACA-A10-DOC-A10-COURSE_ROW-0064,32,32,0,"[32, 384]",rag_amikom_v1,FAISS IndexIDMap2(IndexFlatIP) + SQLite metadata store,IndexIDMap2(IndexFlatIP),9c742bb4917a97de92e3341e772ac9a06d6984a6c33e9f0456adc5b8b669245c,47107cc58d51dea4a2902365b8c422ae98432a785b84cdc7582d59f338d731fe,04_checkpoint/batch_checkpoints/batch_0004_vectors.npy,a88221b5db34a30882c2a18766be760f2f4e6807e8f1d97796d44f66665376a9,2026-07-27T12:18:55.987+07:00,2026-07-27T12:18:55.990+07:00,0.003145,COMPLETE
CP-VDB-V1-0005,5,128,159,VEC-E5S-CH-ACA-A10-DOC-A10-COURSE_ROW-0065,VEC-E5S-CH-ACA-A11-DOC-A11-COURSE_NODE-0029,32,32,0,"[32, 384]",rag_amikom_v1,FAISS IndexIDMap2(IndexFlatIP) + SQLite metadata store,IndexIDMap2(IndexFlatIP),9c742bb4917a97de92e3341e772ac9a06d6984a6c33e9f0456adc5b8b669245c,2874248e4a85093f8aabd9257e47362192c1cd8f778f55e39335769babc17eb6,04_checkpoint/batch_checkpoints/batch_0005_vectors.npy,2b7997ffc45062d603458188d44bb2c203601e62f7ee6f98af209d52d5f2e9c9,2026-07-27T12:18:55.990+07:00,2026-07-27T12:18:55.993+07:00,0.003622,COMPLETE
CP-VDB-V1-0006,6,160,191,VEC-E5S-CH-ACA-A11-DOC-A11-COURSE_NODE-0030,VEC-E5S-CH-ACA-A11-DOC-A11-COURSE_NODE-0061,32,32,0,"[32, 384]",rag_amikom_v1,FAISS IndexIDMap2(IndexFlatIP) + SQLite metadata store,IndexIDMap2(IndexFlatIP),9c742bb4917a97de92e3341e772ac9a06d6984a6c33e9f0456adc5b8b669245c,17c9d5eb9f044d9acfc54832e0e3bab0e088ee69815276bba5d1366e213fdf11,04_checkpoint/batch_checkpoints/batch_0006_vectors.npy,e12c0711cf4fe307d01074a2891294e2a8a35a7d569055114676fdd01c50c65d,2026-07-27T12:18:55.994+07:00,2026-07-27T12:18:55.997+07:00,0.003627,COMPLETE
CP-VDB-V1-0007,7,192,223,VEC-E5S-CH-ACA-A11-DOC-A11-COURSE_NODE-0062,VEC-E5S-CH-ACA-A12-DOC-A12-EQUIVALENCY_ROW-0026,32,32,0,"[32, 384]",rag_amikom_v1,FAISS IndexIDMap2(IndexFlatIP) + SQLite metadata store,IndexIDMap2(IndexFlatIP),9c742bb4917a97de92e3341e772ac9a06d6984a6c33e9f0456adc5b8b669245c,eb9abc31d0519d98d2046cb76facb296b5b8350ee73062bde00b6c8e115b4b3f,04_checkpoint/batch_checkpoints/batch_0007_vectors.npy,0fa76b647117bfb6ffdb90f5ab343b29d0675a2de93b36264bd77715c3ca8128,2026-07-27T12:18:55.998+07:00,2026-07-27T12:18:56.001+07:00,0.003624,COMPLETE
CP-VDB-V1-0008,8,224,255,VEC-E5S-CH-ACA-A12-DOC-A12-EQUIVALENCY_ROW-0027,VEC-E5S-CH-DYN-A03-DOC-A03-CURRENT_EVENT-0006,32,32,0,"[32, 384]",rag_amikom_v1,FAISS IndexIDMap2(IndexFlatIP) + SQLite metadata store,IndexIDMap2(IndexFlatIP),9c742bb4917a97de92e3341e772ac9a06d6984a6c33e9f0456adc5b8b669245c,28bec77727696d6ecb49beac93915e7670cff6e198136ee9a9d0e064a134ca7c,04_checkpoint/batch_checkpoints/batch_0008_vectors.npy,f255be492642d4d7d53a3fadf806d36251481122bfb64450ff3cdc2c9a654dda,2026-07-27T12:18:56.001+07:00,2026-07-27T12:18:56.005+07:00,0.003995,COMPLETE
CP-VDB-V1-0009,9,256,287,VEC-E5S-CH-DYN-A03-DOC-A03-CURRENT_EVENT-0007,VEC-E5S-CH-ADM-B01-DOC-B01-PROCEDURE-0003,32,32,0,"[32, 384]",rag_amikom_v1,FAISS IndexIDMap2(IndexFlatIP) + SQLite metadata store,IndexIDMap2(IndexFlatIP),9c742bb4917a97de92e3341e772ac9a06d6984a6c33e9f0456adc5b8b669245c,55e7d6455947b5be328451842c16e9ec556d84fe1b20c73239d5e03c3368c941,04_checkpoint/batch_checkpoints/batch_0009_vectors.npy,21823310aa86b590ab32df69f534419daf6c53ddb137737b81eee865ea520483,2026-07-27T12:19:24.278+07:00,2026-07-27T12:19:24.283+07:00,0.004904,COMPLETE
CP-VDB-V1-0010,10,288,305,VEC-E5S-CH-SCH-B02-DOC-B02-PROCEDURE-0001,VEC-E5S-CH-ADM-B07-DOC-B07-PROCEDURE-0003,18,18,0,"[18, 384]",rag_amikom_v1,FAISS IndexIDMap2(IndexFlatIP) + SQLite metadata store,IndexIDMap2(IndexFlatIP),9c742bb4917a97de92e3341e772ac9a06d6984a6c33e9f0456adc5b8b669245c,82cd51a8a173124ebf4edccd9b992639f25da180e650396e0b8b721a362bc95e,04_checkpoint/batch_checkpoints/batch_0010_vectors.npy,f1792ee5e88338ec625ea1f5e9740f2610eecc82fd215c6da58688757e92c1b1,2026-07-27T12:19:24.284+07:00,2026-07-27T12:19:24.287+07:00,0.004001,COMPLETE
